Rounds,Accuracy,Loss
1,60.39380878,1.612244992
2,87.64939263,0.432389188
3,91.62911442,0.289560721
4,93.51489028,0.227688089
5,94.70758229,0.1877273
6,95.26351881,0.164367995
7,95.86598746,0.145863107
8,96.30681818,0.128600913
9,96.37784091,0.127359477
10,96.7843848,0.110327805
1,76.59188871,1.119942474
2,85.94729624,0.477322192
3,90.85276254,0.303948139
4,93.5075431,0.228614637
5,93.28222962,0.221562271
6,95.41780956,0.161073596
7,95.92476489,0.141599334
8,96.36804467,0.127349439
9,96.63009404,0.115985284
10,96.84561129,0.107847808
1,66.01440047,1.55635707
2,87.95307602,0.429708327
3,91.95483934,0.285947351
4,93.70346787,0.22272131
5,94.68798981,0.18548824
6,95.39576803,0.16096707
7,95.79986285,0.147364494
8,96.18926332,0.131251409
9,96.63499216,0.117358531
10,96.88969436,0.108061732
1,60.82484326,1.447404927
2,84.04682602,0.511685543
3,90.67153213,0.324389245
4,92.38832288,0.25174906
5,94.13450235,0.201480196
6,95.02106191,0.171387309
7,95.50352665,0.150549563
8,96.20150862,0.132498765
9,96.49049765,0.121028895
10,96.76969044,0.112741414
1,63.44778605,1.510270256
2,87.52204154,0.432370087
3,91.38665752,0.290869472
4,93.73285658,0.219478603
5,94.5190047,0.188038256
6,95.44719828,0.157557781
7,95.95905172,0.140857528
8,96.42192398,0.125812359
9,96.49539577,0.118399426
10,96.88234718,0.10625423
1,71.50029389,1.73532141
2,87.84041928,0.460795399
3,91.73442398,0.290643181
4,93.88959639,0.213371204
5,94.97452978,0.176414401
6,95.7606779,0.149442008
7,96.06191223,0.134902062
8,96.59580721,0.120546734
9,96.87010188,0.1106842
10,97.20562304,0.101495838
1,77.49804075,1.140935173
2,88.18328762,0.417644665
3,91.31318574,0.293515956
4,93.82592085,0.218563566
5,94.78350313,0.178602423
6,95.44474922,0.1533422
7,96.18926332,0.134250819
8,96.57131661,0.118133894
9,96.91663401,0.109034055
10,97.09786442,0.100540085
1,78.84502351,1.197393724
2,88.46982759,0.399387581
3,92.10913009,0.275811745
4,93.70346787,0.217425421
5,94.8765674,0.177550432
6,95.48393417,0.155191317
7,96.03007445,0.139563286
8,96.40478056,0.128900304
9,96.67662618,0.116134108
10,97.02194357,0.107598389
1,66.75646552,1.464371606
2,87.44612069,0.447708943
3,91.70503527,0.29228198
4,93.14753135,0.232173973
5,94.94759013,0.176691364
6,95.68230799,0.149938993
7,96.19905956,0.132287501
8,96.26518417,0.128462349
9,96.84071317,0.109725249
10,97.07092476,0.101859408
1,63.91310737,1.573783931
2,87.94572884,0.457709901
3,91.70258621,0.298237363
4,93.72795846,0.216185258
5,94.94514107,0.174999509
6,95.68230799,0.148701143
7,96.37784091,0.128002419
8,96.68642241,0.115261652
9,96.95581897,0.106203142
10,97.14684561,0.099028909
